,Word,valence,arrousal
591,armpit,4.1,3.57
592,army,4.65,4.49
593,aroma,7.65,4.35
594,arouse,6.67,6.21
595,aroused,5.95,7.3
596,arraignment,3.91,4.6
597,arrange,5.15,3.57
598,arrangement,5.71,3
599,array,5.9,3.71
600,arrest,2.33,6.86
601,arrhythmia,3.86,4.95
602,arrival,6.67,3.6
603,arrive,6.41,5
604,arrogance,2.55,4.65
605,arrogant,2.52,5.15
606,arrow,5.24,3.91
607,arsenal,4.45,5.48
608,arsenic,3,4.7
609,arson,2.26,5.41
610,arsonist,2.5,6.95
611,art,6.85,4.48
612,arterial,3.95,3.39
613,artery,4.29,4.09
614,arthritis,2.32,4.27
615,artichoke,5.3,3.5
616,article,5.68,3.5
617,articulate,6.55,4.27
618,artifact,6.2,4.95
619,artificial,3.86,4.17
620,artillery,4.1,4.56
621,artist,6.76,4.1
622,artiste,6.33,3
623,artistic,7,5
624,artistry,6.91,4.71
625,artwork,6.76,4.18
626,arty,6.55,5.53
627,asbestos,2.24,4.38
628,ascend,6.19,4.13
629,ascendant,5.29,3.23
630,ascending,5.14,3.73
631,ascension,5.77,5.36
632,ascertain,5.3,3.17
633,ashamed,2.52,5.65
634,ashtray,3.52,3.48
635,asinine,5.05,4.63
636,ask,5.95,3.48
637,asleep,6.5,2
638,asparagus,5.43,2.73
639,aspect,4.89,3.39
640,aspen,6.57,4.11
641,asphalt,4.46,3.2
642,asphyxia,2.19,6.14
643,asphyxiation,1.53,6.91
644,aspiration,6.26,5
645,aspire,6.43,3.68
646,aspirin,5.3,3.35
647,aspiring,6.89,4.41
648,ass,5.45,5.43
649,assailant,3.24,5.7
650,assassin,2.11,5.82
651,assassinate,3.27,6.38
652,assassination,1.83,6.2
653,assault,2.05,6.8
654,assemble,5.14,3.52
655,assembly,5.47,3.95
656,assemblyman,5,3.12
657,assert,5.68,4.64
658,assertive,5.37,5.55
659,assess,5.84,3.45
660,assessment,5.22,2.75
661,asset,7.25,4.43
662,asshole,2.11,6.38
663,assign,4.75,3.71
664,assignment,5.39,4.45
665,assimilate,4.63,4.15
666,assist,5.95,3.76
667,assistance,5.82,3.82
668,assistant,5.91,4.8
669,associate,5.2,3.11
670,association,5.5,3.67
671,assorted,5.82,3.52
672,assortment,5.64,3.88
673,assume,4.41,4.2
674,assumption,4.3,4.14
675,assurance,5.95,2.81
676,assure,6.33,3.1
677,asterisk,5.38,2.78
678,asteroid,4.95,5.6
679,asthma,2.45,4.5
680,asthmatic,3.33,3.38
681,astonish,5.55,5.38
682,astonished,6.42,5.73
683,astonishing,6.53,5.77
684,astound,6.3,5.05
685,astral,5.32,5.13
686,astrology,4.79,4.18
687,astronaut,6.73,4.4
688,astronomer,5.59,5.42
689,astronomical,6.37,5
690,astronomy,6,4.33
691,astute,6.22,3.16
692,asylum,3.24,5.55
693,atheist,4.64,4.76
694,athlete,6.21,4.75
695,athletic,6.76,5
696,athletics,6.14,4.93
697,atlas,5.95,2.5
698,atmosphere,6.05,4
699,atmospheric,5.72,4.09
700,atoll,5.14,3.55
701,atom,5.74,4.29
702,atomic,4.26,5.85
703,atone,5.6,4
704,atrium,5.95,3.57
705,atrocious,3.14,4.12
706,atrocity,2.95,5
707,atrophy,3.16,3.86
708,attach,5.26,3.81
709,attachment,6,2.96
710,attack,2,7.05
711,attacker,2.23,7.27
712,attain,5.85,3.11
713,attempt,6,4.94
714,attempted,5.35,3.64
715,attend,5.4,3.5
716,attendance,5.95,4.24
717,attendant,5.63,3.14
718,attention,6.68,4.05
719,attentive,6.43,4.37
720,attest,5.1,3.68
721,attic,4.95,3.45
722,attire,6.16,3.95
723,attitude,4.72,4.76
724,attorney,3.67,4.8
725,attract,6.38,5.35
726,attraction,7,5.4
727,attractive,7.19,4.91
728,attribute,5.67,4.12
729,auburn,5.89,3.62
730,auction,5.43,4.5
731,auctioneer,5.09,4
732,audacious,5.11,4.28
733,audacity,5.2,4.1
734,audible,6.05,4.45
735,audience,5.89,4.91
736,audio,6.56,4.29
737,audit,2.82,5.78
738,audition,5.2,4.24
